,game_id,probability
347,2007-1424-1210,0.72
348,2007-1425-1116,0.64
349,2007-1438-1107,0.6
350,2007-1439-1228,0.56
351,2007-1457-1323,0.32
352,2007-1458-1394,0.68
353,2007-1139-1268,0.52
354,2007-1207-1130,0.76
355,2007-1314-1277,0.36
356,2007-1326-1462,0.56
357,2007-1338-1433,0.68
358,2007-1401-1257,0.4
359,2007-1417-1231,0.44
360,2007-1435-1450,0.76
361,2007-1196-1345,0.28
362,2007-1242-1246,0.36
363,2007-1272-1305,0.56
364,2007-1332-1457,0.52
365,2007-1356-1439,0.44
366,2007-1397-1438,0.56
367,2007-1424-1458,0.36
368,2007-1425-1400,0.56
369,2007-1242-1356,0.24
370,2007-1272-1401,0.28
371,2007-1326-1397,0.24
372,2007-1417-1338,0.44
373,2007-1196-1139,0.6
374,2007-1207-1435,0.36
375,2007-1314-1425,0.88
376,2007-1332-1424,0.56
377,2007-1326-1272,0.48
378,2007-1417-1242,0.32
379,2007-1196-1332,0.24
380,2007-1207-1314,0.36
381,2007-1196-1417,0.36
382,2007-1326-1207,0.32
383,2007-1196-1326,0.48
384,2008-1291-1164,0.56
385,2008-1181-1125,0.8
386,2008-1242-1340,0.08
387,2008-1243-1425,0.44
388,2008-1266-1246,0.56
389,2008-1277-1396,0.28
390,2008-1323-1206,0.28
391,2008-1338-1331,0.56
392,2008-1345-1124,0.36
393,2008-1390-1165,0.8
394,2008-1401-1140,0.48
395,2008-1417-1290,0.08
396,2008-1424-1245,0.52
397,2008-1450-1457,0.64
398,2008-1452-1112,0.68
399,2008-1458-1168,0.8
400,2008-1462-1208,0.32
401,2008-1116-1231,0.48
402,2008-1139-1375,0.32
403,2008-1172-1211,0.56
404,2008-1207-1420,0.32
405,2008-1257-1129,0.84
406,2008-1272-1426,0.96
407,2008-1274-1388,0.52
408,2008-1280-1332,0.32
409,2008-1314-1291,0.96
410,2008-1328-1386,0.36
411,2008-1360-1163,0.72
412,2008-1373-1435,0.72
413,2008-1397-1110,0.8
414,2008-1400-1122,0.92
415,2008-1437-1155,0.68
416,2008-1443-1179,0.68
417,2008-1242-1424,0.68
418,2008-1277-1338,0.32
419,2008-1390-1266,0.48
420,2008-1417-1401,0.8
421,2008-1450-1323,0.56
422,2008-1452-1181,0.32
423,2008-1458-1243,0.36
424,2008-1462-1345,0.52
425,2008-1172-1207,0.44
426,2008-1257-1328,0.72
427,2008-1272-1280,0.64
428,2008-1314-1116,0.12
429,2008-1397-1139,0.44
430,2008-1400-1274,0.68
431,2008-1437-1373,0.6
432,2008-1443-1360,0.68
433,2008-1257-1397,0.48
434,2008-1314-1450,0.84
435,2008-1417-1443,0.16
436,2008-1462-1452,0.36
437,2008-1172-1458,0.44
438,2008-1242-1437,0.72
439,2008-1272-1277,0.32
440,2008-1400-1390,0.44
441,2008-1314-1257,0.56
442,2008-1417-1462,0.6
443,2008-1242-1172,0.68
444,2008-1272-1400,0.28
445,2008-1242-1314,0.4
446,2008-1272-1417,0.36
447,2008-1242-1272,0.4
448,2009-1287-1106,0.64
449,2009-1163-1151,0.88
450,2009-1181-1127,0.76
451,2009-1211-1103,0.6
452,2009-1261-1139,0.52
453,2009-1268-1143,0.4
454,2009-1272-1169,0.84
455,2009-1276-1155,0.4
456,2009-1314-1347,0.12
457,2009-1328-1288,0.32
458,2009-1345-1320,0.4
459,2009-1400-1278,0.32
460,2009-1401-1140,0.4
461,2009-1417-1433,0.56
462,2009-1437-1110,0.6
463,2009-1443-1228,0.52
464,2009-1449-1280,0.44
465,2009-1112-1428,0.56
466,2009-1113-1396,0.44
467,2009-1156-1448,0.48
468,2009-1173-1452,0.56
469,2009-1242-1295,0.24
470,2009-1257-1287,0.12
471,2009-1266-1429,0.52
472,2009-1277-1352,0.24
473,2009-1281-1165,0.68
474,2009-1329-1397,0.4
475,2009-1338-1190,0.68
476,2009-1373-1326,0.68
477,2009-1393-1372,0.28
478,2009-1425-1130,0.56
479,2009-1458-1199,0.6
480,2009-1462-1340,0.76
481,2009-1163-1401,0.2
482,2009-1181-1400,0.68
483,2009-1211-1443,0.4
484,2009-1272-1268,0.24
485,2009-1314-1261,0.2
486,2009-1328-1276,0.56
487,2009-1345-1449,0.48
488,2009-1437-1417,0.64
489,2009-1112-1156,0.52
490,2009-1242-1173,0.52
491,2009-1257-1373,0.28
492,2009-1277-1425,0.32
493,2009-1281-1266,0.48
494,2009-1338-1329,0.32
495,2009-1393-1113,0.6
496,2009-1462-1458,0.6
497,2009-1163-1345,0.12
498,2009-1281-1272,0.56
499,2009-1338-1462,0.56
500,2009-1437-1181,0.68
501,2009-1257-1112,0.24
502,2009-1277-1242,0.36
503,2009-1314-1211,0.68
504,2009-1328-1393,0.6
505,2009-1163-1281,0.16
506,2009-1437-1338,0.64
507,2009-1277-1257,0.48
508,2009-1314-1328,0.32
509,2009-1277-1163,0.6
510,2009-1314-1437,0.76
511,2009-1314-1277,0.56
512,2010-1115-1457,0.6
513,2010-1124-1358,0.16
514,2010-1139-1431,0.32
515,2010-1140-1196,0.24
516,2010-1242-1250,0.96
517,2010-1243-1317,0.76
518,2010-1246-1190,0.12
519,2010-1293-1435,0.48
520,2010-1307-1285,0.4
521,2010-1320-1424,0.6
522,2010-1325-1207,0.4
523,2010-1330-1323,0.56
524,2010-1388-1350,0.44
525,2010-1397-1361,0.6
526,2010-1437-1352,0.24
527,2010-1448-1400,0.6
528,2010-1449-1266,0.6
529,2010-1143-1257,0.56
530,2010-1165-1396,0.4
531,2010-1181-1115,0.76
532,2010-1210-1329,0.68
533,2010-1211-1199,0.48
534,2010-1268-1222,0.2
535,2010-1277-1308,0.8
536,2010-1281-1155,0.4
537,2010-1326-1364,0.08
538,2010-1338-1324,0.72
539,2010-1345-1373,0.68
540,2010-1393-1436,0.68
541,2010-1401-1429,0.6
542,2010-1452-1288,0.68
543,2010-1458-1459,0.4
544,2010-1462-1278,0.4
545,2010-1124-1330,0.52
546,2010-1139-1293,0.44
547,2010-1243-1140,0.56
548,2010-1246-1448,0.72
549,2010-1320-1242,0.36
550,2010-1388-1437,0.52
551,2010-1397-1325,0.44
552,2010-1449-1307,0.6
553,2010-1165-1458,0.6
554,2010-1181-1143,0.76
555,2010-1277-1268,0.36
556,2010-1326-1210,0.56
557,2010-1345-1401,0.6
558,2010-1393-1211,0.32
559,2010-1452-1281,0.4
560,2010-1462-1338,0.56
561,2010-1139-1393,0.6
562,2010-1243-1462,0.52
563,2010-1246-1165,0.24
564,2010-1452-1449,0.28
565,2010-1124-1388,0.36
566,2010-1181-1345,0.32
567,2010-1277-1320,0.6
568,2010-1397-1326,0.6
569,2010-1139-1243,0.32
570,2010-1452-1246,0.56
571,2010-1181-1124,0.68
572,2010-1277-1397,0.48
573,2010-1139-1277,0.64
574,2010-1181-1452,0.28
575,2010-1181-1139,0.68
576,2011-1155-1412,0.48
577,2011-1421-1114,0.52
578,2011-1427-1106,0.72
579,2011-1433-1425,0.48
580,2011-1139-1330,0.32
581,2011-1140-1459,0.84
582,2011-1153-1281,0.4
583,2011-1163-1137,0.16
584,2011-1196-1364,0.72
585,2011-1211-1385,0.4
586,2011-1243-1429,0.64
587,2011-1246-1343,0.76
588,2011-1287-1257,0.2
589,2011-1338-1421,0.36
590,2011-1350-1435,0.44
591,2011-1361-1294,0.76
592,2011-1396-1336,0.6
593,2011-1417-1277,0.52
594,2011-1452-1155,0.48
595,2011-1458-1125,0.44
596,2011-1112-1272,0.64
597,2011-1181-1214,0.76
598,2011-1199-1401,0.48
599,2011-1206-1437,0.52
600,2011-1228-1424,0.4
601,2011-1242-1131,0.88
602,2011-1266-1462,0.48
603,2011-1276-1397,0.52
604,2011-1314-1254,0.76
605,2011-1323-1103,0.48
606,2011-1326-1427,0.84
607,2011-1345-1389,0.6
608,2011-1393-1232,0.2
609,2011-1400-1324,0.76
610,2011-1433-1207,0.36
611,2011-1449-1208,0.32
612,2011-1139-1338,0.4
613,2011-1140-1211,0.44
614,2011-1163-1153,0.16
615,2011-1196-1417,0.28
616,2011-1246-1452,0.6
617,2011-1350-1287,0.36
618,2011-1361-1396,0.56
619,2011-1458-1243,0.48
620,2011-1112-1400,0.72
621,2011-1181-1276,0.24
622,2011-1199-1323,0.44
623,2011-1242-1228,0.12
624,2011-1266-1393,0.64
625,2011-1314-1449,0.12
626,2011-1326-1206,0.2
627,2011-1433-1345,0.44
628,2011-1112-1181,0.72
629,2011-1139-1458,0.48
630,2011-1163-1361,0.24
631,2011-1196-1140,0.4
632,2011-1242-1350,0.16
633,2011-1246-1326,0.44
634,2011-1314-1266,0.12
635,2011-1433-1199,0.48
636,2011-1139-1196,0.24
637,2011-1163-1112,0.2
638,2011-1246-1314,0.6
639,2011-1433-1242,0.76
640,2011-1139-1433,0.48
641,2011-1163-1246,0.28
642,2011-1163-1139,0.24
643,2012-1140-1233,0.52
644,2012-1443-1290,0.72
645,2012-1378-1143,0.4
646,2012-1436-1249,0.52
647,2012-1124-1355,0.24
648,2012-1160-1424,0.68
649,2012-1211-1452,0.36
650,2012-1231-1308,0.32
651,2012-1235-1163,0.2
652,2012-1243-1379,0.36
653,2012-1246-1443,0.16
654,2012-1257-1172,0.08
655,2012-1266-1140,0.52
656,2012-1293-1161,0.4
657,2012-1307-1253,0.64
658,2012-1326-1259,0.84
659,2012-1393-1421,0.2
660,2012-1433-1455,0.56
661,2012-1435-1217,0.36
662,2012-1458-1285,0.6
663,2012-1153-1400,0.44
664,2012-1166-1104,0.36
665,2012-1196-1438,0.52
666,2012-1199-1382,0.32
667,2012-1207-1125,0.64
668,2012-1242-1178,0.8
669,2012-1250-1181,0.76
670,2012-1277-1254,0.16
671,2012-1301-1361,0.52
672,2012-1313-1281,0.16
673,2012-1314-1436,0.8
674,2012-1325-1276,0.52
675,2012-1345-1388,0.56
676,2012-1378-1396,0.32
677,2012-1387-1272,0.52
678,2012-1462-1323,0.6
679,2012-1124-1160,0.36
680,2012-1231-1433,0.4
681,2012-1246-1235,0.88
682,2012-1257-1307,0.32
683,2012-1266-1293,0.44
684,2012-1326-1211,0.4
685,2012-1393-1243,0.64
686,2012-1458-1435,0.52
687,2012-1153-1199,0.4
688,2012-1196-1313,0.52
689,2012-1242-1345,0.4
690,2012-1277-1387,0.28
691,2012-1301-1207,0.36
692,2012-1314-1166,0.12
693,2012-1325-1378,0.6
694,2012-1462-1250,0.44
695,2012-1196-1266,0.52
696,2012-1257-1277,0.28
697,2012-1326-1153,0.32
698,2012-1393-1458,0.56
699,2012-1124-1462,0.56
700,2012-1242-1301,0.76
701,2012-1246-1231,0.24
702,2012-1314-1325,0.8
703,2012-1257-1196,0.4
704,2012-1326-1393,0.16
705,2012-1242-1314,0.36
706,2012-1246-1124,0.72
707,2012-1242-1326,0.36
708,2012-1246-1257,0.32
709,2012-1246-1242,0.36
710,2013-1299-1251,0.56
711,2013-1388-1292,0.52
712,2013-1241-1254,0.72
713,2013-1247-1129,0.48
714,2013-1112-1125,0.32
715,2013-1139-1137,0.44
716,2013-1143-1424,0.32
717,2013-1161-1281,0.32
718,2013-1211-1380,0.16
719,2013-1217-1307,0.24
720,2013-1257-1299,0.92
721,2013-1266-1172,0.56
722,2013-1272-1388,0.6
723,2013-1276-1355,0.64
724,2013-1277-1434,0.72
725,2013-1332-1329,0.36
726,2013-1387-1308,0.4
727,2013-1393-1285,0.68
728,2013-1433-1103,0.44
729,2013-1455-1338,0.4
730,2013-1166-1153,0.4
731,2013-1181-1107,0.76
732,2013-1195-1207,0.36
733,2013-1196-1322,0.4
734,2013-1228-1160,0.32
735,2013-1231-1241,0.24
736,2013-1235-1323,0.4
737,2013-1242-1443,0.92
738,2013-1247-1243,0.64
739,2013-1274-1334,0.76
740,2013-1278-1417,0.36
741,2013-1279-1458,0.52
742,2013-1314-1437,0.28
743,2013-1326-1233,0.2
744,2013-1361-1328,0.44
745,2013-1396-1301,0.56
746,2013-1112-1217,0.24
747,2013-1257-1161,0.28
748,2013-1266-1139,0.48
749,2013-1276-1433,0.6
750,2013-1277-1272,0.16
751,2013-1332-1387,0.4
752,2013-1393-1143,0.24
753,2013-1455-1211,0.6
754,2013-1181-1166,0.24
755,2013-1195-1361,0.32
756,2013-1196-1278,0.72
757,2013-1231-1396,0.64
758,2013-1242-1314,0.48
759,2013-1247-1279,0.48
760,2013-1274-1228,0.24
761,2013-1326-1235,0.64
762,2013-1266-1274,0.6
763,2013-1326-1112,0.48
764,2013-1393-1231,0.24
765,2013-1455-1247,0.48
766,2013-1181-1277,0.6
767,2013-1196-1195,0.36
768,2013-1257-1332,0.16
769,2013-1276-1242,0.28
770,2013-1393-1266,0.24
771,2013-1455-1326,0.64
772,2013-1257-1181,0.36
773,2013-1276-1196,0.32
774,2013-1257-1455,0.2
775,2013-1276-1393,0.32
776,2013-1257-1276,0.2
777,2014-1107-1291,0.56
778,2014-1301-1462,0.52
779,2014-1142-1411,0.6
780,2014-1397-1234,0.52
781,2014-1163-1386,0.32
782,2014-1173-1326,0.32
783,2014-1196-1107,0.92
784,2014-1217-1153,0.52
785,2014-1257-1264,0.16
786,2014-1276-1459,0.76
787,2014-1277-1174,0.2
788,2014-1295-1328,0.48
789,2014-1332-1140,0.64
790,2014-1338-1160,0.4
791,2014-1361-1308,0.24
792,2014-1387-1301,0.36
793,2014-1393-1444,0.72
794,2014-1400-1113,0.36
795,2014-1437-1454,0.28
796,2014-1458-1110,0.28
797,2014-1112-1451,0.92
798,2014-1124-1304,0.64
799,2014-1166-1418,0.32
800,2014-1211-1329,0.36
801,2014-1235-1300,0.52
802,2014-1242-1184,0.76
803,2014-1246-1243,0.6
804,2014-1272-1203,0.44
805,2014-1273-1181,0.2
806,2014-1314-1344,0.12
807,2014-1372-1433,0.48
808,2014-1390-1307,0.32
809,2014-1397-1269,0.52
810,2014-1417-1409,0.28
811,2014-1438-1157,0.68
812,2014-1455-1142,0.88
813,2014-1163-1437,0.56
814,2014-1173-1393,0.64
815,2014-1196-1338,0.28
816,2014-1257-1387,0.64
817,2014-1276-1400,0.4
818,2014-1277-1217,0.64
819,2014-1361-1295,0.24
820,2014-1458-1332,0.28
821,2014-1112-1211,0.56
822,2014-1124-1166,0.56
823,2014-1235-1314,0.72
824,2014-1246-1455,0.4
825,2014-1390-1242,0.2
826,2014-1397-1273,0.4
827,2014-1417-1372,0.4
828,2014-1438-1272,0.32
829,2014-1112-1361,0.36
830,2014-1173-1390,0.52
831,2014-1196-1417,0.6
832,2014-1458-1124,0.36
833,2014-1163-1235,0.36
834,2014-1246-1257,0.68
835,2014-1276-1397,0.68
836,2014-1277-1438,0.24
837,2014-1196-1173,0.8
838,2014-1458-1112,0.56
839,2014-1163-1277,0.6
840,2014-1246-1276,0.44
841,2014-1163-1196,0.64
842,2014-1246-1458,0.44
843,2014-1163-1246,0.64
844,2015-1214-1264,0.52
845,2015-1279-1140,0.52
846,2015-1173-1129,0.56
847,2015-1352-1316,0.64
848,2015-1112-1411,0.12
849,2015-1116-1459,0.36
850,2015-1139-1400,0.4
851,2015-1153-1345,0.28
852,2015-1207-1186,0.76
853,2015-1209-1124,0.44
854,2015-1246-1214,1.0
855,2015-1301-1261,0.48
856,2015-1314-1217,0.16
857,2015-1323-1318,0.84
858,2015-1326-1433,0.44
859,2015-1412-1235,0.32
860,2015-1417-1374,0.6
861,2015-1428-1372,0.64
862,2015-1437-1248,0.16
863,2015-1462-1279,0.52
864,2015-1173-1344,0.44
865,2015-1181-1352,0.24
866,2015-1211-1295,0.24
867,2015-1234-1172,0.4
868,2015-1242-1308,0.72
869,2015-1257-1414,0.16
870,2015-1268-1434,0.64
871,2015-1277-1208,0.68
872,2015-1320-1461,0.6
873,2015-1328-1107,0.6
874,2015-1332-1329,0.48
875,2015-1361-1385,0.28
876,2015-1438-1125,0.8
877,2015-1452-1138,0.44
878,2015-1455-1231,0.36
879,2015-1458-1157,0.2
880,2015-1112-1326,0.2
881,2015-1246-1153,0.76
882,2015-1301-1437,0.28
883,2015-1314-1116,0.12
884,2015-1323-1139,0.64
885,2015-1417-1412,0.52
886,2015-1428-1207,0.52
887,2015-1462-1209,0.68
888,2015-1181-1361,0.32
889,2015-1211-1234,0.72
890,2015-1257-1320,0.28
891,2015-1277-1438,0.48
892,2015-1328-1173,0.32
893,2015-1452-1268,0.48
894,2015-1455-1242,0.4
895,2015-1458-1332,0.64
896,2015-1112-1462,0.16
897,2015-1246-1452,0.68
898,2015-1323-1455,0.2
899,2015-1458-1314,0.4
900,2015-1181-1428,0.24
901,2015-1211-1417,0.16
902,2015-1257-1301,0.64
903,2015-1277-1328,0.16
904,2015-1246-1323,0.64
905,2015-1458-1112,0.64
906,2015-1181-1211,0.4
907,2015-1277-1257,0.32
908,2015-1181-1277,0.64
909,2015-1458-1246,0.48
910,2015-1181-1458,0.44
911,2016-1195-1192,0.52
912,2016-1455-1435,0.64
913,2016-1221-1380,0.6
914,2016-1276-1409,0.64
915,2016-1114-1345,0.48
916,2016-1139-1403,0.52
917,2016-1163-1160,0.44
918,2016-1181-1423,0.72
919,2016-1211-1371,0.48
920,2016-1231-1151,0.4
921,2016-1235-1233,0.52
922,2016-1242-1122,0.08
923,2016-1246-1392,0.8
924,2016-1274-1138,0.28
925,2016-1314-1195,0.04
926,2016-1344-1425,0.44
927,2016-1428-1201,0.64
928,2016-1438-1214,0.8
929,2016-1455-1112,0.36
930,2016-1463-1124,0.36
931,2016-1218-1143,0.6
