team1_seed,team2_seed,team1_dis(km),team2_dis(km),team1_pt_school_ncaa,team1_pt_overall_ncaa,team1_pt_school_s16,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_overall_ff,team1_pt_career_school_wins,team1_pt_career_school_losses,team1_pt_career_overall_wins,team1_pt_career_overall_losses,team1_pt_team_season_wins,team1_pt_team_season_losses,team1_pt_coach_season_wins,team1_pt_coach_season_losses,team2_pt_school_ncaa,team2_pt_overall_ncaa,team2_pt_school_s16,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_overall_ff,team2_pt_career_school_wins,team2_pt_career_school_losses,team2_pt_career_overall_wins,team2_pt_career_overall_losses,team2_pt_team_season_wins,team2_pt_team_season_losses,team2_pt_coach_season_wins,team2_pt_coach_season_losses,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_blockpct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppblockpct,team1_f3grate,team1_oppf3grate,team1_arate,team1_opparate,team1_stlrate,team1_oppstlrate,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_blockpct,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppblockpct,team2_f3grate,team2_oppf3grate,team2_arate,team2_opparate,team2_stlrate,team2_oppstlrate,team1_adjtempo,team1_adjoe,team1_adjde,team2_adjtempo,team2_adjoe,team2_adjde,team1_outcome,game_id
4,13,2143.261415,2331.734009,3,6,1,2,1,1,101,56,336,273,23,7,23,7,1,1,0,0,0,0,205,170,205,170,21,9,21,9,52.589,37.5536,67.5472,6.8306,49.9089,32.0624,70.1149,8.8997,27.3796,34.4478,58.5455,54.8431,0.0904,0.0744,46.7928,34.6278,69.0299,9.1155,41.2455,33.7736,74.6711,8.0967,39.3881,32.3565,61.6085,48.1132,0.0898,0.1109,68.1862,115.5508,96.7318,66.7211,99.8067,95.7897,1,2002-1326-1172
2,15,624.8571436,1106.550154,1,2,0,0,0,0,91,57,181,137,23,8,23,8,0,0,0,0,0,0,57,55,57,55,16,14,16,14,52.352,42.2096,77.0784,7.0243,46.4879,34.3013,67.9767,6.6009,34.8814,26.0274,57.085,45.2563,0.099,0.0927,50.9,34.8754,67.6471,9.935,47.0752,38.087,68.0758,8.9,35.9795,34.8063,59.4326,60.4683,0.0755,0.0923,72.3868,116.6486,95.8647,70.0751,100.4848,104.8021,1,2002-1332-1285
9,8,375.9648497,2790.404598,1,1,0,0,0,0,76,44,76,44,28,3,28,3,9,9,3,3,1,1,337,156,491,233,19,9,19,9,50.8026,38.5965,69.1928,8.3048,46.3185,32.8657,66.3283,8.2153,39.2427,29.934,56.4838,45.8156,0.0995,0.091,50.6173,34.0461,69.9877,10.1961,45.098,35.0746,69.4486,6.5844,33.3516,29.5969,58.3942,51.114,0.0701,0.0986,69.0067,107.4561,94.335,71.2398,113.9578,96.3122,0,2002-1390-1443
5,12,526.3417705,577.4018706,0,0,0,0,0,0,56,34,56,34,26,6,26,6,0,0,0,0,0,0,26,6,26,6,26,6,26,6,50.3971,37.9386,69.1667,10.0983,44.7721,32.0814,65.3716,7.4368,24.7691,36.3481,52.8129,59.4901,0.1259,0.0925,51.0526,40.2262,75.389,11.2177,46.3469,34.8276,68.0251,9.0226,31.7599,29.9742,60.5603,51.9277,0.1094,0.0945,66.3464,110.5513,90.5247,71.285,111.68,98.0707,0,2002-1409-1266
4,13,579.319111,3895.17546,2,2,1,1,0,0,104,85,104,85,22,9,22,9,1,1,0,0,0,0,135,102,135,102,22,9,22,9,47.7411,34.6552,69.242,11.2281,47.2807,33.6842,68.3688,6.8105,28.1144,36.8421,55.4455,58.4535,0.1236,0.0694,46.4905,37.3311,68.855,9.0513,45.3438,32.0883,67.2468,8.6705,32.8342,33.8895,57.7806,54.7887,0.128,0.0931,71.328,110.6461,91.1034,64.534,104.5005,93.829,0,2002-1423-1425
10,7,559.5067989,3620.668175,0,0,0,0,0,0,22,8,22,8,22,8,22,8,0,5,0,0,0,0,20,12,185,90,20,12,20,12,49.5746,36.4516,71.4729,12.603,43.7397,36.7893,72.1704,5.7231,32.4098,33.0022,48.4429,57.3901,0.0933,0.0752,52.8839,36.6412,73.8192,9.9499,49.32,34.4307,68.7764,6.5323,31.2798,34.2897,55.2448,53.2979,0.0879,0.1039,74.1163,108.5752,96.7807,71.5241,115.7479,100.3366,0,2002-1448-1337
6,11,1657.865177,695.4679553,2,2,2,2,0,0,81,19,81,19,29,3,29,3,0,0,0,0,0,0,78,40,78,40,21,8,21,8,50.1169,39.0706,73.2446,8.7981,41.791,33.2335,68.5668,7.7163,31.1695,34.4152,57.8161,50,0.0804,0.0813,50.6349,30.8962,69.6822,10.4355,43.1389,36.2205,70.8783,8.8095,25.1781,29.4493,51.8856,53.8787,0.096,0.1068,70.1758,115.1777,96.3415,70.4124,106.037,96.6601,0,2002-1461-1211
11,6,411.8060971,3620.255538,5,5,0,0,0,0,231,128,231,128,25,6,25,6,2,5,1,2,0,0,117,69,301,202,22,8,22,8,53.0948,39.8801,73.2348,9.2308,44.8718,33.5559,71.8808,7.9304,39.2122,33.8609,68.8344,55.0964,0.0979,0.1035,51.6746,31.4286,67.713,11.9891,46.1399,34.3701,66.6174,7.0973,32.1796,36.8693,58.3234,59.6708,0.1143,0.0729,66.893,106.9622,95.1915,68.0084,108.4214,93.0913,0,2002-1143-1335
16,1,771.6916775,412.2743754,1,1,0,0,0,0,129,106,129,106,22,9,22,9,10,11,4,4,1,1,330,100,427,146,30,3,30,3,45.4167,35.8025,68.8172,7.7994,42.8041,33.0893,68.2443,10.3333,32.0883,38.8068,53.3422,55.0218,0.0913,0.1041,50.7363,36.2218,70.9178,10.2265,40.4942,29.5848,68.2848,6.2249,27.8609,28.4029,48.7073,44.8095,0.069,0.0657,65.8612,99.5634,101.1011,68.7152,115.7842,88.0357,0,2002-1153-1131
15,2,217.0981659,518.9773103,1,1,0,0,0,0,90,56,90,56,26,6,26,6,9,14,7,7,1,1,375,149,623,286,24,6,24,6,53.4684,35.5,66.8774,8.8716,49.6498,30.2362,67.5325,6.703,31.864,33.0729,50.3893,50.3614,0.1131,0.0952,50.4627,39.3862,69.6315,15.6499,40.5836,32.3442,71.151,8.575,19.4334,30.8891,50.823,55.7831,0.1035,0.091,70.2842,107.6656,103.7417,70.3456,108.1906,91.5948,0,2002-1163-1214
5,12,1438.218553,690.204566,3,3,2,2,1,1,124,64,159,84,22,8,22,8,3,4,0,0,0,0,145,94,228,161,22,8,22,8,53.1829,35.2584,69.7234,12,44.4255,33.2779,68.4039,7.1716,34.6498,33.8401,58.1839,59.6953,0.1361,0.0993,51.157,37.1567,73.037,10.6112,45.6706,38.8193,73.3229,5.9504,33.8436,32.1819,57.4794,54.4371,0.1174,0.1035,71.4041,112.9069,90.4288,68.6093,109.7891,99.2335,0,2002-1166-1196
14,3,583.5315181,955.4124327,1,1,0,0,0,0,86,39,86,39,19,12,19,12,1,15,0,4,0,1,47,44,450,226,21,9,21,9,49.476,32.0066,71.8861,12.5,50.085,34.1818,70.5056,7.0359,31.0985,31.8656,49.2974,57.6577,0.1051,0.1074,50.7961,32.2807,74.3066,9.4293,50.0414,31.0145,66.6058,9.022,30.1747,36.3349,56.9087,56.2882,0.1259,0.1055,70.7761,104.1288,104.2136,70.9604,114.569,96.9263,0,2002-1208-1293
4,13,318.3319911,2770.697824,1,3,1,2,0,0,51,16,180,97,24,8,24,8,0,7,0,4,0,3,40,48,225,129,21,11,21,11,52.7419,36.7052,74.0139,11.1111,45.7053,34.0087,66.3158,8.1452,35.8178,35.2551,64.978,55.092,0.1049,0.0793,50.104,35.75,65.6676,9.6463,47.4277,33.3333,68.0745,7.8309,21.7037,30.9656,51.5012,56.1856,0.094,0.111,70.701,111.9148,92.7977,71.2003,104.1575,95.2062,1,2002-1228-1361
16,1,507.0546981,13.3596176,0,0,0,0,0,0,16,18,16,18,16,18,16,18,8,11,5,7,1,1,268,143,475,271,26,4,26,4,45.6127,34.626,74.4032,11.3308,42.6616,33.6399,69.6471,10.5144,35.3229,36.657,54.5135,57.8947,0.0778,0.102,51.9185,37.4138,72.5616,13.6106,43.6673,31.6597,68.118,7.6739,25.8007,31.1198,65.928,53.1522,0.1118,0.0941,67.7359,98.6102,99.6885,75.418,116.2551,91.5424,0,2002-1268-1373
3,14,740.8253476,445.6602877,0,0,0,0,0,0,78,49,78,49,26,7,26,7,0,1,0,0,0,0,21,8,114,62,21,8,21,8,53.1117,34.8457,65.285,9.0375,47.0242,30.0985,68.7813,6.7185,28.0407,34.3147,60.0212,46.6042,0.1191,0.1114,46.7756,36.7033,65.3846,13.3097,44.3656,33.4052,61.9938,7.8246,28.1211,29.164,52.18,48.855,0.1218,0.1118,69.2387,109.3856,91.6294,66.805,102.3383,95.3549,1,2002-1280-1270
10,7,756.5621544,374.8840468,4,4,4,4,3,3,167,64,167,64,19,11,19,11,0,1,0,0,0,0,108,84,171,110,22,10,22,10,48.8294,39.3013,77.0035,8.9337,46.0134,29.7533,72.1925,8.7793,27.6904,39.8266,57.3298,57.1637,0.0776,0.1109,51.4512,35.9638,75.5047,5.6648,49.5673,31.4126,73.6626,9.7625,40.4712,29.7402,63.2677,54.8185,0.1136,0.0984,64.5618,111.2209,95.8615,68.8094,109.9085,93.5746,0,2002-1301-1277
15,2,1293.329712,276.8982512,1,1,0,0,0,0,86,91,86,91,20,13,20,13,7,8,1,1,0,0,183,73,286,176,27,4,27,4,44.7068,40.1695,65.8409,3.5893,50.1669,33.7037,69.9104,11.1564,32.4532,31.0702,52.0356,55.9387,0.0805,0.0855,48.2265,35.0148,76.676,9.6264,44.8994,29.9296,68.5611,8.1518,29.5484,28.9796,51.1375,55.4717,0.1293,0.0824,68.9228,106.9515,103.9632,68.4844,110.4555,88.5941,0,2002-1328-1227
3,14,3.846825874,621.6141136,0,1,0,0,0,0,59,34,136,95,27,5,27,5,1,1,0,0,0,0,97,78,97,78,27,4,27,4,54.7988,32.2581,60.4527,11.9175,44.6142,28.8217,69.5222,9.4427,34.5491,32.4213,63.5776,54.902,0.0991,0.0792,48.8776,35.0126,73.6011,8.2665,46.6292,30.832,62.1505,7.3135,22.3285,32.9747,51.5971,52.4675,0.0989,0.1063,65.6775,110.257,91.6547,65.6751,98.4339,96.3931,1,2002-1338-1148
6,11,1546.309699,476.2129159,0,24,0,14,0,5,23,8,784,300,23,8,23,8,0,0,0,0,0,0,77,46,77,46,26,7,26,7,48.7275,37.6289,68.2292,8.8332,44.8253,35.4839,68.1452,7.0764,19.4097,26.8916,63.1579,55.2392,0.1041,0.0822,49.9339,36.6057,61.9318,11.8257,42.047,35.9019,69.8824,6.7371,28.4161,28.3094,56.0451,47.7245,0.1036,0.0938,71.3679,112.4064,96.9711,73.0735,105.457,94.6616,0,2002-1356-1403
6,11,291.0679688,2483.523215,3,9,0,1,0,0,88,42,290,176,20,11,20,11,1,3,0,0,0,0,79,72,217,198,20,11,20,11,48.2603,36.7647,68.6732,9.5342,47.3071,36.5559,65.3955,8.3119,25.9542,32.5147,54.373,52.13,0.0869,0.091,45.8723,33.7043,69.5876,8.1839,46.6095,32.973,65.8098,9.3458,32.8803,30.1959,53.5581,52.4968,0.1139,0.1047,70.6207,113.6185,99.4373,70.708,107.0112,97.6867,1,2002-1400-1130
9,8,1079.16361,3447.230532,2,2,1,1,0,0,86,45,86,45,20,10,20,10,5,5,4,4,0,0,133,58,133,58,19,11,19,11,50.6764,37.8689,73.5736,5.1818,48.3636,31.6129,67.8233,11.5505,38.8288,29.7125,57.6602,51.8409,0.1075,0.1085,50.6716,38.986,69.1834,8.1152,49.3892,33.2947,71.5548,6.1194,29.9163,42.9283,52.9933,55.6858,0.0784,0.0805,66.4878,112.3212,94.8577,68.5327,110.6811,96.7451,0,2002-1417-1279
8,9,1135.976729,343.3621162,0,0,0,0,0,0,18,12,48,39,18,12,18,12,2,8,1,2,0,0,87,43,340,184,20,11,20,11,47.6054,35.7639,71.8354,5.1925,51.1191,34.7826,68.7251,9.1954,35.5556,32.1385,55.6188,51.1258,0.0912,0.1002,43.9074,28.719,66.9544,9.7403,46.1039,33.1461,72.1024,9.1899,24.7824,30.2378,46.9388,57.3154,0.1393,0.0992,64.6828,107.4935,95.4425,70.725,99.3518,91.7203,1,2002-1458-1385
10,7,6095.689187,1313.976118,2,2,0,0,0,0,243,203,258,230,27,5,27,5,0,1,0,0,0,0,25,5,49,13,25,5,25,5,48.9529,38.374,68.7055,9.1203,44.6328,33.2075,66.3921,8.2024,34.9233,29.9604,66.6248,48.011,0.1046,0.0772,49.1942,35.6239,72.1019,10.6557,43.7407,30.6839,66.8687,8.7362,31.9284,28.7307,51.4801,51.9256,0.0986,0.0898,66.8943,110.4563,96.6259,68.0282,109.1179,92.009,0,2002-1462-1218
3,11,513.5292638,695.4679553,17,22,8,10,4,5,467,144,656,239,22,9,22,9,0,0,0,0,0,0,78,40,78,40,21,8,21,8,50,37.6093,73.0769,7.2512,47.8576,34.7826,70.1258,8.4934,33.6275,31.9731,56.4706,54.8255,0.0835,0.0839,50.6349,30.8962,69.6822,10.4355,43.1389,36.2205,70.8783,8.8095,25.1781,29.4493,51.8856,53.8787,0.096,0.1068,72.8207,117.3877,96.9262,70.4124,106.037,96.6601,1,2002-1112-1461
1,8,148.3845902,1022.557906,17,17,12,12,9,9,562,167,635,226,29,3,29,3,1,3,0,0,0,0,41,20,140,72,21,10,21,10,57.4329,36.2651,68.9845,7.2251,46.2916,30.2703,68.8693,7.4692,37.5736,26.1916,57.1821,49.5516,0.1297,0.0919,49.037,37.8641,71.194,10.9142,42.6648,33.6538,67.5325,8.6667,31.4024,30.6634,67.0759,56.5271,0.1099,0.1016,75.1685,118.5999,87.7504,70.1299,113.8693,97.3342,1,2002-1181-1323
13,5,3895.17546,3007.304604,1,1,0,0,0,0,135,102,135,102,22,9,22,9,1,1,0,0,0,0,41,24,41,24,20,11,20,11,46.4905,37.3311,68.855,9.0513,45.3438,32.0883,67.2468,8.6705,32.8342,33.8895,57.7806,54.7887,0.128,0.0931,48.3696,40,69.4561,12.5086,42.8866,35.5839,66.4013,10.0155,33.0213,27.359,58.4949,48.2295,0.1045,0.1075,64.534,104.5005,93.829,66.5739,109.6136,89.9224,0,2002-1231-1423
8,1,2790.404598,438.9855967,9,9,3,3,1,1,337,156,491,233,19,9,19,9,12,12,7,7,2,2,384,92,384,92,29,3,29,3,50.6173,34.0461,69.9877,10.1961,45.098,35.0746,69.4486,6.5844,33.3516,29.5969,58.3942,51.114,0.0701,0.0986,52.5627,41.0959,71.9128,12.2449,41.8677,36.4754,68.1621,9.1058,21.791,31.1622,61.3288,52.5424,0.1159,0.1094,71.2398,113.9578,96.3122,79.1217,115.0406,90.5399,0,2002-1242-1390
2,10,969.7752576,706.8631595,0,2,0,0,0,0,81,49,149,73,26,7,26,7,0,0,0,0,0,0,27,5,27,5,27,5,27,5,50.6579,30.8677,73.5782,8.0468,45.2085,31.7841,68.2422,7.1637,33.945,32.7925,50.5495,46.988,0.1053,0.0881,50.7947,36.5812,73.1034,5.4849,46.1844,32.4717,68.9051,5.5978,28.7894,32.9782,48.4721,50.6394,0.0974,0.0717,69.9001,111.4954,93.877,66.1658,113.6686,96.201,0,2002-1245-1104
12,4,577.4018706,500.454322,0,0,0,0,0,0,26,6,26,6,26,6,26,6,4,8,3,6,1,1,130,42,254,104,20,9,20,9,51.0526,40.2262,75.389,11.2177,46.3469,34.8276,68.0251,9.0226,31.7599,29.9742,60.5603,51.9277,0.1094,0.0945,50.9105,31.5089,67.6948,12.3344,45.1159,33.6538,67.9117,7.8385,34.8633,34.0611,51.1682,52.8477,0.1055,0.0987,71.285,111.68,98.0707,69.3445,109.8256,91.1143,0,2002-1246-1409
12,4,1497.17951,2143.261415,2,2,0,0,0,0,59,37,59,37,21,11,21,11,3,6,1,2,1,1,101,56,336,273,23,7,23,7,49.6829,39.0887,68.9704,9.7222,47.4747,36.414,66.8831,7.8224,37.0173,25.4588,52.2793,54.8999,0.1029,0.101,52.589,37.5536,67.5472,6.8306,49.9089,32.0624,70.1149,8.8997,27.3796,34.4478,58.5455,54.8431,0.0904,0.0744,70.5889,112.3241,99.0919,68.1862,115.5508,96.7318,1,2002-1281-1326
7,2,3620.668175,624.8571436,0,5,0,0,0,0,20,12,185,90,20,12,20,12,1,2,0,0,0,0,91,57,181,137,23,8,23,8,52.8839,36.6412,73.8192,9.9499,49.32,34.4307,68.7764,6.5323,31.2798,34.2897,55.2448,53.2979,0.0879,0.1039,52.352,42.2096,77.0784,7.0243,46.4879,34.3013,67.9767,6.6009,34.8814,26.0274,57.085,45.2563,0.099,0.0927,71.5241,115.7479,100.3366,72.3868,116.6486,95.8647,0,2002-1332-1448
2,7,518.9773103,374.8840468,9,14,7,7,1,1,375,149,623,286,24,6,24,6,0,1,0,0,0,0,108,84,171,110,22,10,22,10,50.4627,39.3862,69.6315,15.6499,40.5836,32.3442,71.151,8.575,19.4334,30.8891,50.823,55.7831,0.1035,0.091,51.4512,35.9638,75.5047,5.6648,49.5673,31.4126,73.6626,9.7625,40.4712,29.7402,63.2677,54.8185,0.1136,0.0984,70.3456,108.1906,91.5948,68.8094,109.9085,93.5746,1,2002-1163-1301
12,4,690.204566,318.3319911,3,4,0,0,0,0,145,94,228,161,22,8,22,8,1,3,1,2,0,0,51,16,180,97,24,8,24,8,51.157,37.1567,73.037,10.6112,45.6706,38.8193,73.3229,5.9504,33.8436,32.1819,57.4794,54.4371,0.1174,0.1035,52.7419,36.7052,74.0139,11.1111,45.7053,34.0087,66.3158,8.1452,35.8178,35.2551,64.978,55.092,0.1049,0.0793,68.6093,109.7891,99.2335,70.701,111.9148,92.7977,0,2002-1228-1166
1,8,13.3596176,1135.976729,8,11,5,7,1,1,268,143,475,271,26,4,26,4,0,0,0,0,0,0,18,12,48,39,18,12,18,12,51.9185,37.4138,72.5616,13.6106,43.6673,31.6597,68.118,7.6739,25.8007,31.1198,65.928,53.1522,0.1118,0.0941,47.6054,35.7639,71.8354,5.1925,51.1191,34.7826,68.7251,9.1954,35.5556,32.1385,55.6188,51.1258,0.0912,0.1002,75.418,116.2551,91.5424,64.6828,107.4935,95.4425,1,2002-1268-1458
7,2,1313.976118,276.8982512,0,1,0,0,0,0,25,5,49,13,25,5,25,5,7,8,1,1,0,0,183,73,286,176,27,4,27,4,49.1942,35.6239,72.1019,10.6557,43.7407,30.6839,66.8687,8.7362,31.9284,28.7307,51.4801,51.9256,0.0986,0.0898,48.2265,35.0148,76.676,9.6264,44.8994,29.9296,68.5611,8.1518,29.5484,28.9796,51.1375,55.4717,0.1293,0.0824,68.0282,109.1179,92.009,68.4844,110.4555,88.5941,0,2002-1328-1462
6,3,3620.255538,3.846825874,2,5,1,2,0,0,117,69,301,202,22,8,22,8,0,1,0,0,0,0,59,34,136,95,27,5,27,5,51.6746,31.4286,67.713,11.9891,46.1399,34.3701,66.6174,7.0973,32.1796,36.8693,58.3234,59.6708,0.1143,0.0729,54.7988,32.2581,60.4527,11.9175,44.6142,28.8217,69.5222,9.4427,34.5491,32.4213,63.5776,54.902,0.0991,0.0792,68.0084,108.4214,93.0913,65.6775,110.257,91.6547,0,2002-1338-1143
11,3,476.2129159,955.4124327,0,0,0,0,0,0,77,46,77,46,26,7,26,7,1,15,0,4,0,1,47,44,450,226,21,9,21,9,49.9339,36.6057,61.9318,11.8257,42.047,35.9019,69.8824,6.7371,28.4161,28.3094,56.0451,47.7245,0.1036,0.0938,50.7961,32.2807,74.3066,9.4293,50.0414,31.0145,66.6058,9.022,30.1747,36.3349,56.9087,56.2882,0.1259,0.1055,73.0735,105.457,94.6616,70.9604,114.569,96.9263,1,2002-1356-1208
6,3,291.0679688,740.8253476,3,9,0,1,0,0,88,42,290,176,20,11,20,11,0,0,0,0,0,0,78,49,78,49,26,7,26,7,48.2603,36.7647,68.6732,9.5342,47.3071,36.5559,65.3955,8.3119,25.9542,32.5147,54.373,52.13,0.0869,0.091,53.1117,34.8457,65.285,9.0375,47.0242,30.0985,68.7813,6.7185,28.0407,34.3147,60.0212,46.6042,0.1191,0.1114,70.6207,113.6185,99.4373,69.2387,109.3856,91.6294,1,2002-1400-1280
1,8,412.2743754,3447.230532,10,11,4,4,1,1,330,100,427,146,30,3,30,3,5,5,4,4,0,0,133,58,133,58,19,11,19,11,50.7363,36.2218,70.9178,10.2265,40.4942,29.5848,68.2848,6.2249,27.8609,28.4029,48.7073,44.8095,0.069,0.0657,50.6716,38.986,69.1834,8.1152,49.3892,33.2947,71.5548,6.1194,29.9163,42.9283,52.9933,55.6858,0.0784,0.0805,68.7152,115.7842,88.0357,68.5327,110.6811,96.7451,0,2002-1417-1153
1,5,541.9848154,217.164859,17,17,12,12,9,9,562,167,635,226,29,3,29,3,1,1,0,0,0,0,41,24,41,24,20,11,20,11,57.4329,36.2651,68.9845,7.2251,46.2916,30.2703,68.8693,7.4692,37.5736,26.1916,57.1821,49.5516,0.1297,0.0919,48.3696,40,69.4561,12.5086,42.8866,35.5839,66.4013,10.0155,33.0213,27.359,58.4949,48.2295,0.1045,0.1075,75.1685,118.5999,87.7504,66.5739,109.6136,89.9224,0,2002-1231-1181
